Profiles;Proteins;Proteins from subgroups;Prediction(SFLD)
46,78,81,82;1;muconate cycloisomerase: 1;0(0)
55,59,64,65,66,78,82;2;mannonate dehydratase: 2;0(0)
55,56;1;;1(0)
14,20,24,81;1;glucarate dehydratase: 1;0(0)
7,9;2;;1(1)
23,82;1;muconate cycloisomerase: 1;0(0)
55,59,63,65,78,82;2;mannonate dehydratase: 2;0(0)
33,36,38,40,42,84;1;;1(0)
46,48,64,81,84;1;muconate cycloisomerase: 1;0(0)
6,8,9,84;1;enolase: 1;0(0)
55,59,65,66,78,82;1;mannonate dehydratase: 1;0(0)
11,84;12;;12(0)
14,15,19,20,23,25,81,82;4;glucarate dehydratase: 4;0(0)
6,7,9,10;6;enolase: 5;1(0)
6,9,11,84;9;enolase: 4;4(1)
14,15,19,20,23,25,81;2;glucarate dehydratase: 2;0(0)
55;4;;4(0)
11;1;;1(0)
55,63,64,65,66,78;1;mannonate dehydratase: 1;0(0)
24,25,82;1;;1(0)
15,20,81;1;;1(0)
7,8;7;;7(0)
55,64,78,80;38;mandelate racemase: 35;3(0)
78,80,82;16;mandelate racemase: 15;1(0)
9,10;2;;1(1)
6,7,8,9,11,84;18;enolase: 13;5(0)
64,82;92;mandelate racemase: 76_muconate cycloisomerase: 1;10(5)
46,48,81,82,84;96;muconate cycloisomerase: 87;9(0)
64,78,80;319;mandelate racemase: 281;37(1)
55,64,78,80,82;28;mandelate racemase: 23;5(0)
6,8,9,11,84;7;enolase: 5;2(0)
9,10,11,84;25;enolase: 4;18(3)
6,7,8,9,10;12;enolase: 8;1(3)
14,15,20,24,81,82;1;glucarate dehydratase: 1;0(0)
48,64,84;1;;1(0)
64,78,82;74;mandelate racemase: 62;12(0)
33,36,38,40,41,42,84;8;methylaspartate ammonia-lyase: 4;4(0)
36,37,40,41,42,84;1;methylaspartate ammonia-lyase: 1;0(0)
6,9,10;2;enolase: 1;0(1)
14,20,23,24,25,81,82;1;glucarate dehydratase: 1;0(0)
14,15,20,24,25,81,82;23;glucarate dehydratase: 14;9(0)
14,15,19,20,23,24,81;3;glucarate dehydratase: 1;2(0)
46,82,84;3;muconate cycloisomerase: 3;0(0)
19,20,23,24,81;1;glucarate dehydratase: 1;0(0)
33,36,37,40,41,42,84;2;methylaspartate ammonia-lyase: 1;1(0)
6,8,9,10,84;3;enolase: 3;0(0)
36,37,38,40,41,42,84;2;methylaspartate ammonia-lyase: 1;1(0)
7,8,9,11,84;3;enolase: 1;2(0)
19;4;;4(0)
14,15,24,25;4;;3(1)
46,48,64,82,84;1;muconate cycloisomerase: 1;0(0)
8,9,11;1;;1(0)
84;4;muconate cycloisomerase: 1;1(2)
46;59;muconate cycloisomerase: 40;17(2)
7,8,9,10;3;enolase: 1;2(0)
55,56,59,63,64,65,66,78,82;46;mannonate dehydratase: 41;5(0)
9,84;2;;1(1)
81;46;muconate cycloisomerase: 26_mandelate racemase: 6;12(2)
14,15,19,20,23,24,25,81,82;87;glucarate dehydratase: 73;14(0)
20,81;4;glucarate dehydratase: 2;2(0)
55,56,59,63,64,65,78;1;mannonate dehydratase: 1;0(0)
55,59,63,64,65,82;1;mannonate dehydratase: 1;0(0)
14,20,25;1;glucarate dehydratase: 1;0(0)
55,59,63,65,66,78,82;1;mannonate dehydratase: 1;0(0)
14,15,20,81;2;glucarate dehydratase: 1;1(0)
14,20,24,81,82;1;glucarate dehydratase: 1;0(0)
14,15,19,20,23,81,82;1;glucarate dehydratase: 1;0(0)
9,11,84;2;;1(1)
8,9,10,11;1;;1(0)
78,80,81,82;2;mandelate racemase: 2;0(0)
55,56,59,63,64,78,82;1;;1(0)
6,8,9,10;2;;2(0)
46,78,80;1;mandelate racemase: 1;0(0)
6,8,10,11,84;1;enolase: 1;0(0)
33,37,38,40,41,42,84;4;methylaspartate ammonia-lyase: 2;2(0)
55,59,64,65,78;2;mannonate dehydratase: 1;1(0)
46,48,81;2;muconate cycloisomerase: 2;0(0)
7,8,10;2;enolase: 1;1(0)
14,20,25,81;2;;2(0)
33,36,37,38,40,41,42,84;23;methylaspartate ammonia-lyase: 15;8(0)
55,59,63,64,65,78;3;mannonate dehydratase: 3;0(0)
6,8;6;enolase: 1;5(0)
14,15,19,20,24,25,81;2;;2(0)
6,8,11;1;;1(0)
80,82;5;mandelate racemase: 4;1(0)
6,8,9;1;;0(1)
6,7,8,9;11;enolase: 4;5(2)
6;29;enolase: 1;26(2)
78,82;60;mandelate racemase: 39;20(1)
48,82;7;muconate cycloisomerase: 7;0(0)
55,56,59,63,64,65,78,82;3;mannonate dehydratase: 2;0(1)
46,81;80;muconate cycloisomerase: 71;9(0)
78;57;mandelate racemase: 18;39(0)
8,11;1;;1(0)
14,19,20,25,81,82;2;glucarate dehydratase: 2;0(0)
6,7,11,84;1;enolase: 1;0(0)
14,15,19,23,24,25,81,82;2;glucarate dehydratase: 2;0(0)
15,20,81,82;1;glucarate dehydratase: 1;0(0)
46,82;131;muconate cycloisomerase: 109_mandelate racemase: 1;21(0)
7,10;1;;1(0)
55,56,59,63,78,82;1;;0(1)
9;2;;2(0)
7,11,84;1;;1(0)
15,20,24,25,81,82;1;glucarate dehydratase: 1;0(0)
14,15,19,20,25,81,82;2;glucarate dehydratase: 2;0(0)
14,15;2;;2(0)
55,59,63,64,66,78,82;1;mannonate dehydratase: 1;0(0)
14,20,81,82;4;glucarate dehydratase: 3;1(0)
8,9,10;3;enolase: 1;1(1)
36,38,40,41,42,84;1;;1(0)
46,64,81,82;1;muconate cycloisomerase: 1;0(0)
55,64,78;1;mandelate racemase: 1;0(0)
6,10,11,84;1;;1(0)
6,7,8,11,84;7;enolase: 5;2(0)
33,40,41,42;2;;2(0)
14,23,24,25,82;3;glucarate dehydratase: 3;0(0)
48,64,81,82,84;2;muconate cycloisomerase: 2;0(0)
64,80,81;4;mandelate racemase: 2;2(0)
59,63,64,65,66,78;1;mannonate dehydratase: 1;0(0)
48,81,82;4;muconate cycloisomerase: 3;1(0)
48,64,82,84;1;;1(0)
19,81,82;1;mandelate racemase: 1;0(0)
64,81;2;mandelate racemase: 2;0(0)
78,81,82;177;mandelate racemase: 142;35(0)
64,78;35;mandelate racemase: 27;8(0)
55,59,63,64,65,66,78,82;39;mannonate dehydratase: 32;7(0)
64,78,80,81,82;80;mandelate racemase: 74;6(0)
78,81;14;mandelate racemase: 12;2(0)
14,15,20,23,24,81,82;1;glucarate dehydratase: 1;0(0)
6,7;45;enolase: 2;40(3)
14,15,20,23,24,25,81,82;13;glucarate dehydratase: 9;4(0)
64,78,81,82;78;mandelate racemase: 74;4(0)
14,15,20,81,82;1;;1(0)
6,11,84;1;enolase: 1;0(0)
55,59,64,65;1;mannonate dehydratase: 1;0(0)
6,7,8,10,11;1;;1(0)
38,40,41,42,84;2;methylaspartate ammonia-lyase: 1;1(0)
20,81,82;3;;2(1)
46,48,81,84;13;muconate cycloisomerase: 13;0(0)
14,15,25;3;;3(0)
7;12;;12(0)
14,15,20,24,25,81;2;glucarate dehydratase: 2;0(0)
48,84;57;muconate cycloisomerase: 46;11(0)
82,84;1;muconate cycloisomerase: 1;0(0)
14,25;2;;2(0)
6,7,9,11,84;4;enolase: 3;1(0)
8,9,11,84;3;enolase: 2;0(1)
33,36,40,41,42,84;1;;1(0)
78,80;4;mandelate racemase: 4;0(0)
20,24,25,81,82;3;glucarate dehydratase: 1;2(0)
64,78,81;5;mandelate racemase: 5;0(0)
8;4;;2(2)
59,63,64,65,66,78,82;1;;1(0)
55,59,63,64,65,66;5;mannonate dehydratase: 4;1(0)
48,81;1;muconate cycloisomerase: 1;0(0)
15,19,24,82;1;mandelate racemase: 1;0(0)
6,9;2;enolase: 1;1(0)
55,56,59,63,65,66,78,82;3;mannonate dehydratase: 2;1(0)
64,78,80,82;132;mandelate racemase: 121;11(0)
14,15,19,20,24,25,82;2;glucarate dehydratase: 2;0(0)
14,19,20,24,25,81;1;;1(0)
14,19,20,23,24,25,81,82;7;glucarate dehydratase: 6;1(0)
64,81,82;34;mandelate racemase: 30;4(0)
6,7,8,9,10,84;2;enolase: 1;1(0)
19,20,25,81,82;1;;1(0)
14,15,23,24,25,82;1;;1(0)
6,7,8,9,10,11;4;enolase: 4;0(0)
14,15,24,25,81,82;2;glucarate dehydratase: 1;1(0)
55,59,63,64,66,78;2;mannonate dehydratase: 2;0(0)
14,20,24,25,81,82;5;glucarate dehydratase: 4;1(0)
46,48,81,82;10;muconate cycloisomerase: 10;0(0)
55,64,65,78,82;1;;0(1)
63,78;1;;1(0)
55,59,63,64,65,78,82;3;mannonate dehydratase: 3;0(0)
14,81;1;glucarate dehydratase: 1;0(0)
14,15,19,23,24,25,82;1;glucarate dehydratase: 1;0(0)
48;28;muconate cycloisomerase: 23;5(0)
14,19,20,23,24,25,81;1;glucarate dehydratase: 1;0(0)
55,56,59,63,64,65,66,78;4;mannonate dehydratase: 4;0(0)
6,7,8,10;2;enolase: 1;1(0)
14,15,19,20,23,24,81,82;2;glucarate dehydratase: 2;0(0)
55,59,64,65,78,82;7;mannonate dehydratase: 6;1(0)
7,9,10,11,84;9;enolase: 5;4(0)
6,7,8,10,11,84;11;enolase: 5;6(0)
82;373;muconate cycloisomerase: 287_mandelate racemase: 29;49(8)
81,82;132;muconate cycloisomerase: 62_mandelate racemase: 44;23(3)
46,48,84;170;muconate cycloisomerase: 153;16(1)
64,80,82;45;mandelate racemase: 38;7(0)
8,9,10,11,84;20;enolase: 7;11(2)
6,8,9,10,11,84;70;enolase: 54;16(0)
6,7,9,10,11,84;207;enolase: 160;47(0)
46,81,82;98;muconate cycloisomerase: 90;8(0)
46,48,82,84;142;muconate cycloisomerase: 129;13(0)
64,80;68;mandelate racemase: 58;9(1)
19,20,81,82;1;;1(0)
6,9,10,11;1;enolase: 1;0(0)
20,24,81,82;1;glucarate dehydratase: 1;0(0)
14,15,19,24,25,81;1;glucarate dehydratase: 1;0(0)
14,24,25;1;glucarate dehydratase: 1;0(0)
20,24,81;1;glucarate dehydratase: 1;0(0)
59,63,64,65,78;2;mannonate dehydratase: 2;0(0)
10,11;1;;0(1)
14,15,19,20,23,24,25,81;7;glucarate dehydratase: 6;1(0)
14,19,25,82;3;glucarate dehydratase: 2;1(0)
6,7,11;1;enolase: 1;0(0)
8,11,84;3;;3(0)
55,59,63,65,66,78;1;mannonate dehydratase: 1;0(0)
65,66;1;;1(0)
6,7,9,84;1;;1(0)
14,19,20,23,25,81,82;1;;1(0)
55,64;1;mandelate racemase: 1;0(0)
7,8,10,11,84;1;enolase: 1;0(0)
6,7,9;1;;1(0)
14,15,19,20,23,24,25,82;1;;1(0)
46,48,64,84;1;muconate cycloisomerase: 1;0(0)
7,8,11,84;1;enolase: 1;0(0)
14,19,23,25,82;1;glucarate dehydratase: 1;0(0)
7,9,10;1;;1(0)
14,20,24,25,81;1;;1(0)
19,82;1;;0(1)
14,20,81;1;glucarate dehydratase: 1;0(0)
48,81,82,84;23;muconate cycloisomerase: 22;1(0)
7,8,9,10,11,84;21;enolase: 15;6(0)
48,81,84;4;muconate cycloisomerase: 4;0(0)
46,48;29;muconate cycloisomerase: 27;2(0)
6,9,10,11,84;33;enolase: 24;8(1)
55,64,78,82;1;mandelate racemase: 1;0(0)
46,48,82;32;muconate cycloisomerase: 24;8(0)
6,7,8;19;enolase: 4;13(2)
14;1;;1(0)
10,11,84;10;;10(0)
14,15,20,23,24,25,81;2;glucarate dehydratase: 1;1(0)
14,15,19,20,24,25,81,82;15;glucarate dehydratase: 13;2(0)
6,7,8,9,10,11,84;1226;enolase: 984;242(0)
7,8,9,10,84;1;enolase: 1;0(0)
33,36,37,38,40,42,84;1;;1(0)
66;2;;2(0)
7,9,11,84;2;enolase: 1;0(1)
8,9,10,84;1;;1(0)
6,8,9,11;1;enolase: 1;0(0)
55,56,59,82;2;;2(0)
6,8,9,10,11;1;enolase: 1;0(0)
6,7,9,10,11;1;;1(0)
14,19,20,24,25,81,82;2;glucarate dehydratase: 1;1(0)
6,7,10,11,84;1;enolase: 1;0(0)
14,15,19,24,25,81,82;2;glucarate dehydratase: 1;1(0)
63,64,65,66,78;4;;3(1)
33,38,40,41,42,84;14;methylaspartate ammonia-lyase: 6;8(0)
80;15;mandelate racemase: 11;4(0)
14,15,19,20,23,24,25,64,81;6;glucarate dehydratase: 5;1(0)
64,80,81,82;9;mandelate racemase: 8;1(0)
64;48;mandelate racemase: 34_galactarate dehydratase: 2;9(3)
46,48,64,81,82,84;24;muconate cycloisomerase: 22;2(0)
48,82,84;53;muconate cycloisomerase: 49;4(0)
55,59,63,64,65,66,78;32;mannonate dehydratase: 28;3(1)
46,84;4;muconate cycloisomerase: 4;0(0)
10;3;;3(0)
15;2;;2(0)
15,81;1;glucarate dehydratase: 1;0(0)
Total:;5512;4312;1132(68)
